stop_id,search_details_id,search_details_type,search_details_description,,
1445159,1628451,ActionTaken,Citation,,
1447169,1630550,ActionTaken,Citation,,
1447152,1630531,ActionTaken,Citation,,
1445198,1628487,ActionTaken,Citation,,
1447191,1630572,ActionTaken,Citation,,
1445726,1629054,ActionTaken,Citation,,
1445160,1628452,ActionTaken,Citation,,
1447130,1630509,ActionTaken,Written Warning,,
1447170,1630551,ActionTaken,Citation,,
1447212,1630593,ActionTaken,Citation,,
1447214,1630595,ActionTaken,Citation,,
1445178,1628470,ActionTaken,Citation,,
1445161,1628453,ActionTaken,Verbal Warning,,
1445797,1629125,ActionTaken,Written Warning,,
1447196,1630577,ActionTaken,Written Warning,,
1445778,1629106,ActionTaken,Written Warning,,
1447129,1630508,ActionTaken,Citation,,
1445158,1628450,ActionTaken,Verbal Warning,,
1445347,1628669,ActionTaken,Citation,,
1447151,1630530,ActionTaken,Citation,,
1445199,1628488,ActionTaken,Citation,,
1447171,1630552,ActionTaken,Citation,,
1447142,1630521,ActionTaken,Citation,,
1447131,1630510,ActionTaken,Written Warning,,
1447192,1630573,ActionTaken,Citation,,
1445773,1629101,ActionTaken,Citation,,
1447197,1630578,ActionTaken,Citation,,
1445163,1628455,ActionTaken,Citation,,
1445798,1629126,ActionTaken,Citation,,
1447172,1630553,ActionTaken,Citation,,
1447211,1630592,ActionTaken,Citation,,
1445774,1629102,ActionTaken,Citation,,
1445755,1629083,ActionTaken,Citation,,
1447141,1630520,ActionTaken,Citation,,
1445169,NULL,NULL,NULL,,
1447153,1630532,ActionTaken,Citation,,
1447150,1630529,ActionTaken,Written Warning,,
1447154,1630533,ActionTaken,Citation,,
1445766,1629094,ActionTaken,Citation,,
1447203,1630584,ActionTaken,Citation,,
1445162,1628454,ActionTaken,Citation,,
1447128,1630507,ActionTaken,Written Warning,,
1445200,1628489,ActionTaken,Citation,,
1447140,1630519,ActionTaken,Written Warning,,
1445754,1629082,ActionTaken,Citation,,
1447149,1630528,ActionTaken,Citation,,
1445165,1628457,ActionTaken,Citation,,
1445166,1628458,ActionTaken,Citation,,
1447198,1630579,ActionTaken,Citation,,
1445164,1628456,ActionTaken,Citation,,
1445767,1629095,ActionTaken,Citation,,
1447199,1630580,ActionTaken,Citation,,
1445177,1628469,ActionTaken,Citation,,
1445202,1628491,ActionTaken,Citation,,
1447127,1630506,ActionTaken,Citation,,
1445170,NULL,NULL,NULL,,
