super_opeid,instnm,count,count_pq1,count_pq2,count_pq3,count_pq4,count_pq5,inventor,inventor_pq1,inventor_pq2,inventor_pq3,inventor_pq4,inventor_pq5,top5cit,total_patents,total_cites
2130,"Boston University",15311,604,1128,1824,2916,8839,.0094703,.0033113,.0035461,.0104167,.0109739,.0099559,.0005893,246,423
2133,"Brandeis University",2939,121,234,287,445,1852,.0108881,0,.017094,.0069686,.0089888,.011879,1.05e-06,29,8
2141,"College Of The Holy Cross",3129,79,132,325,476,2117,.0044743,0,.0151515,.0092308,.0021008,.0037789,0,20,37
2178,"Massachusetts Institute Of Technology",3919,223,244,379,640,2433,.1206941,.0403587,.0983607,.1345646,.121875,.1278257,.0074783,1058,1441
2199,"Northeastern University",11878,686,1117,1705,2610,5760,.0138912,.0102041,.0107431,.0129032,.01341,.0154514,.0007539,380,1020
2209,"Smith College",2692,179,235,350,525,1403,.0044577,0,.0085106,.0057143,0,.0057021,0,7,13
2219,"Tufts University",4963,170,256,377,655,3505,.0155148,.0117647,.015625,.0079576,.0198473,.0156919,.0006071,89,224
2224,"Wellesley College",2298,119,189,261,354,1375,.0100087,.0084034,.015873,.0076628,.0084746,.0101818,.0004469,37,35
2225,"Wentworth Institute Of Technology",2972,187,340,477,813,1155,.0185061,.0320856,.0088235,.0125786,.0147601,.0242424,.0024384,120,433
2226,"Western New England University",2415,107,233,412,710,953,.010352,0,0,.0169903,.0112676,.0104932,.0004443,39,66
2233,"Worcester Polytechnic Institute",1810,66,162,299,460,823,.0679558,.030303,.037037,.0535117,.0521739,.09113,.0041221,164,185
2241,"Calvin College",2610,81,130,355,759,1285,.0061303,.0246914,0,.0056338,.0052701,.0062257,.0003951,33,282
2243,"Central Michigan University",16026,725,1443,2814,4815,6229,.00156,.0013793,.000693,.0017768,.0006231,.0024081,.000122,33,146
2251,"Delta College",9529,1102,1497,2151,2763,2016,.0010494,0,.001336,.0009298,.0007239,.0019841,.0001173,21,20
2259,"Eastern Michigan University",13153,924,1465,2083,3634,5047,.0015966,0,.0027304,.0024004,.0011007,.0015851,.0000606,15,86
2260,"Ferris State University",8110,673,1095,1620,2415,2307,.0055487,.0059435,.0045662,.0061728,.0057971,.0052016,.0006201,102,72
2261,"Charles Stewart Mott Community College",10245,1435,1423,1988,3066,2333,.0010737,0,0,0,.0013046,.0030004,0,15,0
2262,"Kettering University",2365,92,210,351,647,1065,.1014799,.1195652,.0952381,.0940171,.1097372,.0985916,.0053896,393,359
2267,"Grand Rapids Community College",13020,1132,1773,2846,4428,2841,.0015361,.0017668,.000564,.0003514,.0020325,.0024639,.000148,45,64
2268,"Grand Valley State University",13614,503,1097,2469,4500,5045,.0036727,0,.0036463,.0016201,.0053333,.0035679,.000227,95,454
2273,"Hope College",3403,93,181,435,911,1783,.0047017,0,0,.0022989,.0032931,.0067302,4.43e-06,26,86
2275,"Kalamazoo College",1457,14,71,153,298,921,.0096088,0,0,.0196078,.0067114,.009772,0,14,0
2278,"Lansing Community College",15267,1442,2117,3398,4708,3602,.0015065,0,.0004724,.00206,.0012744,.0024986,0,16,5
2279,"Lawrence Technological University",1263,90,137,221,341,474,.0387965,.0444444,.0364963,.0226244,.0410557,.0443038,.0014272,89,80
2290,"Michigan State University",32656,1395,2365,3820,7085,17991,.0093092,.0057348,.0046512,.010733,.0074806,.0106164,.0007458,640,1311
2292,"Michigan Technological University",5039,194,514,856,1547,1928,.0442548,.0257732,.0428016,.0455607,.040724,.0487552,.0022171,405,251
2303,"Oakland Community College",16090,1432,2001,2678,4223,5756,.0013673,.0006983,.0009995,.0003734,.0009472,.0024322,9.04e-07,32,343
2307,"Oakland University",8080,444,716,976,2078,3866,.0044554,0,.0027933,.005123,.0048123,.0049146,.0002447,66,117
2314,"Saginaw Valley State University",4676,213,672,917,1486,1388,.0038494,0,.0059524,.004362,.0040377,.0028818,1.90e-06,33,48
2323,"University Of Detroit Mercy",1600,173,237,281,395,514,.015625,.0057803,.0042194,.0035587,.0126582,.0330739,0,31,47
2325,"University Of Michigan - Ann Arbor",23437,811,1281,1943,3546,15856,.0214191,.0098644,.0156128,.0113227,.0228426,.0233981,.0011173,972,773
2326,"University Of Michigan - Dearborn",3053,214,269,422,886,1262,.0114641,.0093458,.0037175,.0047393,.0112867,.0158479,0,64,6
2328,"Washtenaw Community College",7687,802,1078,1244,2064,2499,.0016912,0,.0009276,.0024116,.0014535,.002401,.000079,27,59
2329,"Wayne State University",8850,1213,1326,1477,2154,2680,.0033898,.0016488,.0030166,.0020311,.0046425,.0041045,.0000175,47,82
2330,"Western Michigan University",18939,677,1311,2489,4859,9603,.0042769,.0014771,.0022883,.0036159,.0055567,.0042695,.0000504,137,377
2340,"Carleton College",1992,47,117,185,343,1300,.0145582,0,0,.0054054,.0145773,.0176923,7.99e-06,28,40
2345,"University Of Saint Thomas of Saint Paul, MN",4941,105,287,603,1072,2874,.0080955,.0095238,.0069686,.0099502,.0065299,.0083507,.0008268,75,56
2346,"Concordia College - Moorhead",2948,138,335,655,925,895,.0033921,.0072464,0,.0045802,.0010811,.0055866,.0003459,11,0
2353,"Gustavus Adolphus College",2854,61,211,387,708,1487,.0063069,.0327869,0,.0077519,.0070621,.00538,0,43,0
2358,"Macalester College",1734,90,122,241,378,903,.0063437,.0111111,.0081967,.0041494,.005291,.0066445,.000055,6,0
2379,"Saint John's University of Collegeville, MN",2017,30,73,267,557,1090,.006941,0,.0136986,.0037453,.0089767,.006422,9.24e-06,15,33
2382,"Saint Olaf College",3405,73,236,426,742,1928,.0032305,0,0,.0046948,.0053908,.0025934,.0002995,36,19
2423,"Mississippi State University",10686,966,1385,1816,2608,3911,.0036496,0,.0021661,.0011013,.0053681,.0051138,8.88e-06,42,68
2440,"University Of Mississippi",9871,637,1013,1317,1956,4948,.0018235,.0031397,.0009872,.0030372,.002045,.0014147,0,21,3
2441,"University Of Southern Mississippi",7917,1091,1426,1498,1859,2043,.0015157,.0009166,.0007013,.0026702,.0010758,.0019579,.0000111,15,49
2484,"Metropolitan Community College of Kansas City, MO",17099,1875,2897,3893,5042,3392,.0008772,.0005333,.0003452,.0005137,.0009917,.0017689,.0000504,36,495
2495,"Truman State University",6276,157,446,968,1872,2833,.0025494,0,.0067265,.0020661,.0021368,.0024709,0,12,0
2501,"Southeast Missouri State University",7013,506,879,1564,2071,1993,.0017111,0,.0011377,.0012788,.0028972,.0015053,0,8,8
2503,"Missouri State University",12693,688,1474,2575,3666,4290,.0019696,.002907,0,.0023301,.0019094,.002331,.0000831,18,53
2506,"Saint Louis University",6504,170,407,741,1506,3680,.0058426,0,.007371,.0067476,.0079681,.0048913,0,49,10
2520,"Washington University In St. Louis",6277,125,253,458,801,4640,.0186395,.024,.0118577,.010917,.0187266,.0196121,.0006375,227,159
2531,"Montana Tech Of The University Of Montana",1620,191,289,421,429,290,.0061728,.0104712,.0069204,.0023753,.004662,.0103448,0,6,7
2532,"Montana State University Bozeman",9221,643,1350,1931,2401,2896,.0083505,.0046656,.0051852,.0088037,.0095793,.0093232,.0004171,139,163
